,Operación,Precio,Cantidad,Budget,Crypto,Ganancia/Pérdida Acumulada,Rendimiento
170,Compra,212.13009643554688,4.881614958413729,0.0,4.881614958413729,35.537451889512226,0.035537451889512225
171,Venta,213.33999633789062,4.881614958413729,1041.443717350977,0.0,41.443717350976954,0.041443717350976954
172,Compra,214.6999969482422,4.850692744080654,0.0,4.850692744080654,41.443717350976954,0.041443717350976954
173,Venta,215.13499450683594,4.850692744080654,1043.5537568521406,0.0,43.55375685214051,0.04355375685214051
174,Compra,214.5301055908203,4.864369753504629,0.0,4.864369753504629,43.55375685214051,0.04355375685214051
175,Venta,216.53500366210938,4.864369753504629,1053.306322388979,0.0,53.306322388978856,0.05330632238897886
176,Compra,215.27999877929688,4.892727277784961,0.0,4.892727277784961,53.306322388978856,0.05330632238897886
177,Venta,216.28500366210938,4.892727277784961,1058.2235371934228,0.0,58.22353719342266,0.05822353719342266
178,Compra,216.3000030517578,4.892387990120386,0.0,4.892387990120386,58.22353719342266,0.05822353719342266
179,Venta,218.4499969482422,4.892387990120386,1068.742141511415,0.0,68.74214151141484,0.06874214151141485
180,Compra,217.80999755859375,4.90676347959606,0.0,4.90676347959606,68.74214151141484,0.06874214151141485
181,Venta,217.97999572753906,4.90676347959606,1069.5762823183939,0.0,69.57628231839374,0.06957628231839373
182,Compra,217.24769592285156,4.923303226646045,0.0,4.923303226646045,69.57628231839374,0.06957628231839373
183,Venta,216.7449951171875,4.923303226646045,1067.1013338198304,0.0,67.1013338198303,0.0671013338198303
184,Compra,217.02999877929688,4.916837947849744,0.0,4.916837947849744,67.1013338198303,0.0671013338198303
185,Venta,217.5500030517578,4.916837947849744,1069.6581105597104,0.0,69.65811055971028,0.06965811055971029
186,Compra,221.0,4.840081948233983,0.0,4.840081948233983,69.65811055971028,0.06965811055971029
187,Venta,221.05499267578125,4.840081948233983,1069.9242796170442,0.0,69.92427961704414,0.06992427961704413
188,Compra,221.11050415039062,4.838866808830231,0.0,4.838866808830231,69.92427961704414,0.06992427961704413
189,Venta,221.69000244140625,4.838866808830231,1072.7283946632135,0.0,72.72839466321341,0.0727283946632134
190,Compra,221.21800231933594,4.849191220498829,0.0,4.849191220498829,72.72839466321341,0.0727283946632134
191,Venta,220.66000366210938,4.849191220498829,1070.0225524735404,0.0,70.02255247354026,0.07002255247354026
192,Compra,221.27000427246094,4.835822894258941,0.0,4.835822894258941,70.02255247354026,0.07002255247354026
