Operación,Precio,Cantidad,Budget,Crypto,Ganancia/Pérdida Acumulada,Rendimiento
Compra,43111.1,0.023374477883351678,0.0,0.023374477883351678,7.699453476962503,0.0076994534769625035
Venta,43179.7,0.023374477883351678,1009.3029426597603,0.0,9.302942659760333,0.009302942659760333
Compra,43262.01,0.023330005763943014,0.0,0.023330005763943014,9.302942659760333,0.009302942659760333
Venta,43395.09,0.023330005763943014,1012.4076998268257,0.0,12.407699826825706,0.012407699826825706
Compra,43517.99,0.023264119041960022,0.0,0.023264119041960022,12.407699826825706,0.012407699826825706
Venta,43643.98,0.023264119041960022,1015.3387461849225,0.0,15.338746184922343,0.015338746184922343
Compra,43699.56,0.023234530191720983,0.0,0.023234530191720983,15.338746184922343,0.015338746184922343
Venta,43800.0,0.023234530191720983,1017.672422397379,0.0,17.672422397378796,0.017672422397378797
Compra,43687.86,0.023294169647984107,0.0,0.023294169647984107,17.672422397378796,0.017672422397378797
Venta,43724.56,0.023294169647984107,1018.52731842346,0.0,18.527318423459747,0.018527318423459747
Compra,43656.15,0.023330672045598615,0.0,0.023330672045598615,18.527318423459747,0.018527318423459747
Venta,43483.76,0.023330672045598615,1014.5053438695193,0.0,14.505343869519038,0.014505343869519039
Compra,43619.21,0.023258223701656203,0.0,0.023258223701656203,14.505343869519038,0.014505343869519039
Venta,43518.99,0.023258223701656203,1012.1744046901392,0.0,12.174404690139,0.012174404690139
Compra,43471.1,0.023283846157335315,0.0,0.023283846157335315,12.174404690139,0.012174404690139
Venta,43447.06,0.023283846157335315,1011.6146610285168,0.0,11.614661028516593,0.011614661028516594
Compra,44179.55,0.02289780364509183,0.0,0.02289780364509183,11.614661028516593,0.011614661028516594
Venta,44630.09,0.02289780364509183,1021.9310374827763,0.0,21.93103748277622,0.02193103748277622
Compra,44609.79,0.022908223452358246,0.0,0.022908223452358246,21.93103748277622,0.02193103748277622
Venta,44732.01,0.022908223452358246,1024.7308805531236,0.0,24.73088055312337,0.02473088055312337
Compra,45056.0,0.022743494330458178,0.0,0.022743494330458178,24.73088055312337,0.02473088055312337
Venta,44841.22,0.022743494330458178,1019.8460328408279,0.0,19.84603284082766,0.01984603284082766
Compra,44930.24,0.022698432789159995,0.0,0.022698432789159995,19.84603284082766,0.01984603284082766
Venta,44806.64,0.022698432789159995,1017.0405065480878,0.0,17.040506548087592,0.017040506548087593
